question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Q8978241,Mental Health and Wellbeing,worry_school,schoolwork,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about schoolwork,schoolwork
Q8978241.10,Mental Health and Wellbeing,worry_drugsalcohol,drugs/alcohol,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about drugs/alcohol,drugs/alcohol
Q8978241.11,Mental Health and Wellbeing,worry_environment,the environment,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about the environment,the environment
Q8978241.12,Mental Health and Wellbeing,worry_crime,crime,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about crime,crime
Q8978241.13,Mental Health and Wellbeing,worry_gambling,gambling,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about gambling,gambling
Q8978241.14,Mental Health and Wellbeing,worry_friends,issues with friends,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about issues with friends,issues with friends
Q8978241.15,Mental Health and Wellbeing,worry_safety,street safety/violence,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about street safety/violence,street safety/violence
Q8978241.16,Mental Health and Wellbeing,worry_lonely,feeling lonely,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about feeling lonely,feeling lonely
Q8978241.17,Mental Health and Wellbeing,worry_covid19,COVID-19,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about COVID-19,COVID-19
Q8978241.2,Mental Health and Wellbeing,worry_bully,bullying,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they worried about <b>'%s'</b> was %s %s students (%s). ,Worries about bullying,bullying
